,LEAGUE_ID,TEAM_ID,MIN_YEAR,MAX_YEAR,ABBREVIATION
0,00,1610612737,1949,2019,ATL
1,00,1610612738,1946,2019,BOS
2,00,1610612739,1970,2019,CLE
3,00,1610612740,2002,2019,NOP
4,00,1610612741,1966,2019,CHI
5,00,1610612742,1980,2019,DAL
6,00,1610612743,1976,2019,DEN
7,00,1610612744,1946,2019,GSW
8,00,1610612745,1967,2019,HOU
9,00,1610612746,1970,2019,LAC
10,00,1610612747,1948,2019,LAL
11,00,1610612748,1988,2019,MIA
12,00,1610612749,1968,2019,MIL
13,00,1610612750,1989,2019,MIN
14,00,1610612751,1976,2019,BKN
15,00,1610612752,1946,2019,NYK
16,00,1610612753,1989,2019,ORL
17,00,1610612754,1976,2019,IND
18,00,1610612755,1949,2019,PHI
19,00,1610612756,1968,2019,PHX
20,00,1610612757,1970,2019,POR
21,00,1610612758,1948,2019,SAC
22,00,1610612759,1976,2019,SAS
23,00,1610612760,1967,2019,OKC
24,00,1610612761,1995,2019,TOR
25,00,1610612762,1974,2019,UTA
26,00,1610612763,1995,2019,MEM
27,00,1610612764,1961,2019,WAS
28,00,1610612765,1948,2019,DET
29,00,1610612766,1988,2019,CHA
30,00,1610610029,1948,1948,
31,00,1610610025,1946,1949,
32,00,1610610034,1946,1949,
33,00,1610610036,1946,1950,
34,00,1610610024,1947,1954,
35,00,1610610027,1949,1949,
36,00,1610610030,1949,1952,
37,00,1610610033,1949,1949,
38,00,1610610031,1946,1946,
39,00,1610610037,1949,1949,
40,00,1610610023,1949,1949,
41,00,1610610026,1946,1946,
42,00,1610610028,1946,1946,
43,00,1610610032,1946,1948,
44,00,1610610035,1946,1946,
